id,title,description,completed,userId
c51d3971-5a4f-425a-8658-850e57c11657,Todo 1,I have decided to stick with love. Hate is too great a burden to bear.,False,e469436a-78c6-49cd-bda6-ed95071dc934
348e1cd7-f729-4dfd-8460-4fef388bb35e,Todo 2,"If you cannot do great things, do small things in a great way.",False,e469436a-78c6-49cd-bda6-ed95071dc934
55ba4c19-0e85-4772-9532-cdcb4bb33fdf,Todo 3,To hell with circumstances; I create opportunities.Every great change is preceded by chaos.,True,e469436a-78c6-49cd-bda6-ed95071dc934
4a9638b1-86f3-44cf-b57d-f05a67b784cc,Todo 4,I have decided to stick with love. Hate is too great a burden to bear.,False,e469436a-78c6-49cd-bda6-ed95071dc934
766b2601-261c-43ba-9117-10c318afac13,Todo 5,Strength and growth come only through continuous effort and struggle.,True,e469436a-78c6-49cd-bda6-ed95071dc934
014eccae-89b9-4878-b97a-af64d6839116,Todo 6,"Our life is frittered away by detail... simplify, simplify.",False,e469436a-78c6-49cd-bda6-ed95071dc934
a26b6db0-c1ed-4a99-9960-180cc49bff2c,Todo 7,"You have power over your mind - not outside events. Realize this, and you will find strength.",True,e469436a-78c6-49cd-bda6-ed95071dc934
aa243dfa-b85d-4507-a286-fe09bd4ac309,Todo 8,"Knowledge will give you power, but character respect.",True,e469436a-78c6-49cd-bda6-ed95071dc934
a8bc35de-20bc-476d-9ce7-0fdf13d18801,Todo 9,"Silence is the great teacher, and to learn its lessons you must pay attention to it.Service to others is the rent you pay for your room here on earth.",True,e469436a-78c6-49cd-bda6-ed95071dc934
a3eda550-b837-4f2f-81c5-9d65491f1e78,Todo 10,"In the midst of movement and chaos, keep stillness inside of you.",True,e469436a-78c6-49cd-bda6-ed95071dc934
79ef20e2-9588-408b-b2eb-c4a2f78f2181,Todo 11,Awareness is the greatest agent for change.,False,e469436a-78c6-49cd-bda6-ed95071dc934
94c7a4ef-cfa0-4092-9ea2-52d64e56f51e,Todo 12,Awareness is the greatest agent for change.,False,e469436a-78c6-49cd-bda6-ed95071dc934
4ba9b1a1-517d-4747-a534-73e2f157ff8d,Todo 13,The best revenge is to be unlike him who performed the injustice.,True,e469436a-78c6-49cd-bda6-ed95071dc934
53fc314f-9a96-4ca1-aace-a3a405a9f6f0,Todo 14,I'm cool with failing so long as I know that there are people around me that love me unconditionally.,False,e469436a-78c6-49cd-bda6-ed95071dc934
13b4352c-fb40-4a37-b247-961fe3d60c96,Todo 15,"You have power over your mind - not outside events. Realize this, and you will find strength.",False,e469436a-78c6-49cd-bda6-ed95071dc934
bc383c00-c573-4a12-8145-c3aeee3f0b36,Todo 16,"The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate.The best revenge is to be unlike him who performed the injustice.",True,e469436a-78c6-49cd-bda6-ed95071dc934
ac6c3509-4feb-439a-8a3f-a51948769aad,Todo 17,Success usually comes to those who are too busy to be looking for it.,False,e469436a-78c6-49cd-bda6-ed95071dc934
5b2f4308-621e-418a-8997-80c1d75856e9,Todo 18,Write it on your heart that every day is the best day in the year.,True,e469436a-78c6-49cd-bda6-ed95071dc934
9a32a701-9796-4a75-a229-cd2fa4def8f2,Todo 19,What lies behind us and what lies before us are tiny matters compared to what lies within us.,False,e469436a-78c6-49cd-bda6-ed95071dc934
